claim_id,doc_id,doc_title,doc_date,doc_url,category,matched_term,surface_form,sentence,context_before,context_after,category_correct,is_securitising,securitisation_type,referent_object,threat_actor,extraordinary_measure,confidence,coder_notes,human_category_correct,human_is_securitising,human_securitisation_type,human_confidence,human_notes
8821,d137d9236df2,"Виступ Президента й першої леді України перед представниками урядових і ділових кіл США, пресою та українською громадою",2023-09-19,https://www.president.gov.ua/news/vistup-prezidenta-j-pershoyi-ledi-ukrayini-pered-predstavnik-85817,ontological_security,духовний,духовному,"Щира подяка всім , хто бореться разом із нами в духовному вимірі й вимірі цінностей .",Тому це ще й духовна битва .,Я маю честь бути особисто знайомою з архиєпископом Борисом Гудзяком .,yes,yes,ontological,identity,Russia,none,medium,Thanks those fighting 'in the spiritual dimension and dimension of values'. Ontological securitisation framing.,,,,,
4870,72c6ae74b540,Ми гарантуємо Україні духовну незалежність – звернення Президента Володимира Зеленського,2022-12-01,https://www.president.gov.ua/news/mi-garantuyemo-ukrayini-duhovnu-nezalezhnist-zvernennya-prez-79577,decolonisation,незалежність,незалежність,Цими та іншими рішеннями ми гарантуємо Україні духовну незалежність .,"Відбудеться реформа цієї структури , яка дасть їй змогу реально захищати права та законні інтереси українців і держави .",Хочу підкреслити : у 1991 році наша держава стала саме на законний і демократичний шлях .,yes,yes,ontological,nation,Moscow_Patriarchate,ban,high,Summary statement: 'With these decisions we guarantee Ukraine spiritual independence.' Links NSDC extraordinary measures to ontological security.,,,,,
1092,1cab7f32ecd4,"Ми маємо не допустити, щоб хтось у світі засумнівався у стійкості всієї України – Щорічне Послання Президента до Верховної Ради",2024-11-19,https://www.president.gov.ua/news/mi-mayemo-ne-dopustiti-shob-htos-u-sviti-zasumnivavsya-u-sti-94497,ontological_security,духовний,духовної,"Трибунал проти Російської Федерації , конфіскація російських активів , дієві санкції проти Росії , стовідсоткове гарантування духовної незалежності України , українська культурна дипломатія , протидія дезінформації та розбудова нормальних державних комунікацій нашої держави , а також необхідна трансформація наших державних інституцій – абсолютно все це неможливо без дієвої співпраці з громадянським суспільством .","Нам потрібна спільна юридична , комунікаційна та адвокаційна робота держави та українських громадських сил .","Державні рішення , всі наші рішення мають бути підготовлені на основі найкращої експертизи , і ми вже напрацювали відповідні формати спільної роботи державних структур і суспільства .",yes,yes,ontological,nation,Moscow_Patriarchate,none,high,"'100% guaranteeing spiritual independence of Ukraine' listed alongside tribunals, asset confiscation, sanctions in national resilience plan.",,,,,
2433,3f565fb749e7,"Україна має реалізувати свій історичний шанс на розвиток, здобутий сміливістю наших людей – звернення Президента Володимира Зеленського",2023-08-10,https://www.president.gov.ua/news/ukrayina-maye-realizuvati-svij-istorichnij-shans-na-rozvitok-84817,ontological_security,духовний,духовний,"Звичайно , як і завжди , говорили про посилення духовної незалежності України та про духовний мир в Україні .",Вдячний Вселенському Патріархату за готовність допомагати .,Наша країна – один з історичних центрів християнства .,yes,yes,ontological,nation,Moscow_Patriarchate,none,high,Discussion with Ecumenical Patriarchate representative about strengthening Ukraine's spiritual independence.,,,,,
5885,889d490f1d4a,Привітання Президента України Володимира Зеленського з Різдвом Христовим,2023-12-24,https://www.president.gov.ua/news/privitannya-prezidenta-ukrayini-volodimira-zelenskogo-z-rizd-87981,ontological_security,духовний,духовної,"Шлях до здобуття всеосяжної незалежності , зокрема й духовної незалежності .","У непрості часи , коли захищаємо свою землю й свою душу , долаємо шлях до свободи .",Свободи нашої віри від ідеології рабства .,yes,yes,ontological,nation,Moscow_Patriarchate,none,high,"Path to achieving comprehensive independence, including spiritual independence. Christmas message frames spiritual independence as ongoing project.",,,,,
219,0409a2c6a5fe,"Православний світ побачив, що для Росії Великдень нічого не означає – звернення Президента України",2022-04-25,https://www.president.gov.ua/news/pravoslavnij-svit-pobachiv-sho-dlya-rosiyi-velikden-nichogo-74541,material_security,оборона,оборони,Серед іншого це стосується й підготовки до великої міністерської зустрічі в Німеччині у вівторок – зберуться сорок міністрів оборони держав - партнерів .,"Узгодили з американською стороною подальші кроки для зміцнення Збройних Сил України , задоволення всіх пріоритетних потреб нашої армії .","Ключове питання – захист України , захист свободи на сході Європи .",yes,no,none,none,none,none,high,,,,,,
7071,a750da14442e,"Російські війська знищують усе, що робить нас народом, але за це на них чекає відповідальність – звернення Президента Володимира Зеленського",2022-03-26,https://www.president.gov.ua/news/rosijski-vijska-znishuyut-use-sho-robit-nas-narodom-ale-za-c-73873,material_security,безпека,безпеки,Яка ціна цієї безпеки ?,Безпеки насправді для всіх європейців .,Це ж дуже конкретно .,yes,no,none,none,none,none,high,,,,,,
6275,92c1898797ce,Маємо максимально завдавати ураження всім російським позиціям і робимо це – звернення Президента,2024-08-16,https://www.president.gov.ua/news/mayemo-maksimalno-zavdavati-urazhennya-vsim-rosijskim-pozici-92637,ontological_security,духовний,духовної,"Цей законопроєкт повинен спрацювати й повинен додати Україні соборності , реальної нашої єдності духовної .","Верховній Раді запропоновано законопроєкт , який може реально гарантувати , що не буде жодних маніпуляцій із Москви українською церквою .","Дякую всім , хто зміцнює незалежність України !",yes,yes,ontological,nation,Moscow_Patriarchate,ban,high,"Bill should add to Ukraine's sobornost (unity), real spiritual unity. Legislative measure framed as strengthening national spiritual cohesion.",,,,,
2977,4aaca8be34af,Обговорили з партнерами роботу щодо ППО – нових систем для України; готуємо посилення – звернення Президента,2024-08-20,https://www.president.gov.ua/news/obgovorili-z-partnerami-robotu-shodo-ppo-novih-sistem-dlya-u-92713,ontological_security,духовний незалежність,духовної незалежності,Ухвалено закон щодо нашої духовної незалежності .,Хочу сьогодні відзначити роботу Верховної Ради України .,"Це те , про що ми говорили з членами Ради церков і релігійних організацій .",yes,yes,ontological,nation,Moscow_Patriarchate,ban,high,Law on spiritual independence adopted. The culmination of the legislative securitisation process - Law 3894-IX banning Russia-affiliated religious orgs.,,,,,
6476,98d3802ff4c7,Заява Президента України під час спільного з Президентом Туреччини спілкування з журналістами,2025-11-19,https://www.president.gov.ua/news/zayava-prezidenta-ukrayini-pid-chas-spilnogo-z-prezidentom-t-101465,material_security,безпека,безпеки,Гарантії безпеки дуже важливі .,І ми однаково з Туреччиною це бачимо : мир і безпека мають бути гарантованими .,"Ми будемо й надалі тісно координуватись , працювати з усіма нашими партнерами .",yes,no,none,none,none,none,high,,,,,,
