doc_id,doc_title,doc_date,doc_url,n_securitising,n_non_securitising,total_claims,securitisation_types,threat_actors,extraordinary_measures,referent_objects,is_securitising_doc
86a76aa1bd55,Президент України підтримав звернення до центру пам’яті Голокосту про присвоєння митрополиту Андрею Шептицькому почесного звання Праведника народів світу,2020-01-26,https://www.president.gov.ua/news/prezident-ukrayini-pidtrimav-zvernennya-do-centru-pamyati-go-59485,0,5,5,none,none,none,none,no
2c393d48312b,Звернення Глави держави щодо протидії коронавірусу,2020-03-16,https://www.president.gov.ua/news/zvernennya-glavi-derzhavi-shodo-protidiyi-koronavirusu-60181,0,9,9,none,none,none,none,no
077c96bd9f5f,"Звернення Президента України щодо забезпечення засобами, необхідними для боротьби з поширенням коронавірусу",2020-03-23,https://www.president.gov.ua/news/zvernennya-prezidenta-ukrayini-shodo-zabezpechennya-zasobami-60261,0,5,5,none,none,none,none,no
2b64d61864e3,Звернення Глави держави щодо продовження боротьби з коронавірусом в Україні,2020-03-26,https://www.president.gov.ua/news/zvernennya-glavi-derzhavi-shodo-prodovzhennya-borotbi-z-koro-60329,0,8,8,none,none,none,none,no
f15b6348ab49,"Звернення Президента щодо заходів, яких вживає держава для протидії коронавірусу",2020-04-07,https://www.president.gov.ua/news/zvernennya-prezidenta-shodo-zahodiv-yakih-vzhivaye-derzhava-60525,0,8,8,none,none,none,none,no
746f87026ebd,"Ситуація в Зоні відчуження, святкування Великодня та боротьба з коронавірусом: звернення Президента України до громадян",2020-04-14,https://www.president.gov.ua/news/situaciya-v-zoni-vidchuzhennya-svyatkuvannya-velikodnya-ta-b-60637,0,8,8,none,none,none,none,no
7cfa5f11e4ca,«Україна. Київська Русь. 1033»: звернення Президента Володимира Зеленського з нагоди Дня Хрещення Київської Русі – України,2021-07-28,https://www.president.gov.ua/news/ukrayina-kiyivska-rus-1033-zvernennya-prezidenta-volodimira-69757,0,19,19,none,none,none,none,no
3eff2d7b969f,Промова Президента Володимира Зеленського з нагоди 30-ї річниці незалежності України,2021-08-24,https://www.president.gov.ua/news/promova-prezidenta-volodimira-zelenskogo-z-nagodi-30-yi-rich-70333,0,11,11,none,none,none,none,no
e11a1d67dddb,Звернення Президента: українці – символ незламності,2022-03-02,https://www.president.gov.ua/news/zvernennya-prezidenta-ukrayinci-simvol-nezlamnosti-73281,0,5,5,none,none,none,none,no
a5510c169a12,"Україну стільки разів хотіли знищити, але не змогли – звернення Президента Володимира Зеленського",2022-03-03,https://www.president.gov.ua/news/ukrayinu-stilki-raziv-hotili-znishiti-ale-ne-zmogli-zvernenn-73297,0,8,8,none,none,none,none,no
f142407233ce,"Ми продовжуємо боротися, ми захистимо нашу державу і звільнимо нашу землю завдяки нашим героям – звернення Президента України",2022-03-04,https://www.president.gov.ua/news/mi-prodovzhuyemo-borotisya-mi-zahistimo-nashu-derzhavu-i-zvi-73357,0,8,8,none,none,none,none,no
fd7625840771,"Кожен день спротиву створює для України кращі умови на переговорах, щоб гарантувати наше майбутнє у мирі – звернення Президента Володимира Зеленського",2022-03-07,https://www.president.gov.ua/news/kozhen-den-sprotivu-stvoryuye-dlya-ukrayini-krashi-umovi-na-73417,0,9,9,none,none,none,none,no
b115e4035989,Звернення Президента України Володимира Зеленського до парламенту Великої Британії,2022-03-08,https://www.president.gov.ua/news/zvernennya-prezidenta-ukrayini-volodimira-zelenskogo-do-parl-73441,0,6,6,none,none,none,none,no
2b4bb62ba53a,Українці вистояли й надихнули весь світ своєю рішучістю – звернення Президента Володимира Зеленського,2022-03-09,https://www.president.gov.ua/news/ukrayinci-vistoyali-j-nadihnuli-ves-svit-svoyeyu-rishuchisty-73457,0,9,9,none,none,none,none,no
a795adc1420d,"Європейці повинні посилювати санкції проти Росії так, щоб у неї не було жодної можливості продовжувати геноцид в Україні – звернення Президента Володимира Зеленського",2022-03-09,https://www.president.gov.ua/news/yevropejci-povinni-posilyuvati-sankciyi-proti-rosiyi-tak-sho-73465,0,6,6,none,none,none,none,no
6c18145a3cf2,"Держава робить усе, щоб допомогти Маріуполю – звернення Президента Володимира Зеленського",2022-03-11,https://www.president.gov.ua/news/derzhava-robit-use-shob-dopomogti-mariupolyu-zvernennya-prez-73485,0,21,21,none,none,none,none,no
bbdf883d21d6,Ми вже досягли стратегічного перелому і йдемо до нашої перемоги – звернення Президента Володимира Зеленського,2022-03-11,https://www.president.gov.ua/news/mi-vzhe-dosyagli-strategichnogo-perelomu-i-jdemo-do-nashoyi-73493,0,10,10,none,none,none,none,no
0ac5a3bf3319,Час бути ефективними в рутинних справах і віддавати все необхідне для оборони – звернення Президента України Володимира Зеленського,2022-03-12,https://www.president.gov.ua/news/chas-buti-efektivnimi-v-rutinnih-spravah-i-viddavati-vse-neo-73509,0,13,13,none,none,none,none,no
2d047abbd7be,Звернення Президента України Володимира Зеленського до італійців та усіх європейців,2022-03-12,https://www.president.gov.ua/news/zvernennya-prezidenta-ukrayini-volodimira-zelenskogo-do-ital-73525,0,4,4,none,none,none,none,no
72af594379ab,Переможемо завдяки нашому вмінню гуртуватися та завжди памʼятати про своїх – звернення Президента України Володимира Зеленського,2022-03-14,https://www.president.gov.ua/news/peremozhemo-zavdyaki-nashomu-vminnyu-gurtuvatisya-ta-zavzhdi-73541,0,9,9,none,none,none,none,no
b30d09ffd2f1,Промова Президента України Володимира Зеленського у парламенті Канади,2022-03-15,https://www.president.gov.ua/news/promova-prezidenta-ukrayini-volodimira-zelenskogo-u-parlamen-73581,0,4,4,none,none,none,none,no
8dd21ed4a2f4,Промова Президента України Володимира Зеленського у Бундестазі,2022-03-17,https://www.president.gov.ua/news/promova-prezidenta-ukrayini-volodimira-zelenskogo-u-bundesta-73621,0,8,8,none,none,none,none,no
