claim_id,doc_id,doc_title,doc_date,doc_url,category,matched_term,surface_form,sentence,context_before,context_after,category_correct,is_securitising,securitisation_type,referent_object,threat_actor,extraordinary_measure,confidence,coder_notes
57,01d9188eda16,Потрібна потужна система правозахисту воїнів у самому секторі оборони – звернення Президента України,2023-09-14,https://www.president.gov.ua/news/potribna-potuzhna-sistema-pravozahistu-voyiniv-u-samomu-sekt-85621,material_security,оборона,оборони,"Провів нараду з міністром оборони України , обговорили деякі ключові речі .",Будуть і « абрамси » під українськими знаменами – постійно додаємо сили нашим воїнам .,"Ті рішення , яких усе наше суспільство загалом та українські воїни зокрема очікують від Міністерства оборони .",yes,no,none,none,none,none,high,
58,01d9188eda16,Потрібна потужна система правозахисту воїнів у самому секторі оборони – звернення Президента України,2023-09-14,https://www.president.gov.ua/news/potribna-potuzhna-sistema-pravozahistu-voyiniv-u-samomu-sekt-85621,material_security,оборона,оборони,"Ті рішення , яких усе наше суспільство загалом та українські воїни зокрема очікують від Міністерства оборони .","Провів нараду з міністром оборони України , обговорили деякі ключові речі .","Міністр їх представить , коли всі деталі будуть опрацьовані .",yes,no,none,none,none,none,high,
59,01d9188eda16,Потрібна потужна система правозахисту воїнів у самому секторі оборони – звернення Президента України,2023-09-14,https://www.president.gov.ua/news/potribna-potuzhna-sistema-pravozahistu-voyiniv-u-samomu-sekt-85621,material_security,оборона,оборони,"Потрібно , щоб була потужна система правозахисту воїнів у самому секторі оборони .",Це справді потрібно .,"Зустрівся сьогодні з представниками української єврейської громади – рабинами з різних міст України , з нашими воїнами .",yes,no,none,none,none,none,high,
60,01d9188eda16,Потрібна потужна система правозахисту воїнів у самому секторі оборони – звернення Президента України,2023-09-14,https://www.president.gov.ua/news/potribna-potuzhna-sistema-pravozahistu-voyiniv-u-samomu-sekt-85621,church_actors,релігійний,релігійних,"Подякував представникам релігійних організацій за те , що вони тут , в Україні , підтримують людей , підтримують державу й усьому світу – усій єврейській громаді світу – розповідають правду про агресію й терор Росії .",Відзначив воїнів державними нагородами – орденами « За мужність » .,Хороший результат є сьогодні у нашій співпраці з Міжнародним кримінальним судом .,yes,no,none,none,none,none,high,
61,01d9188eda16,Потрібна потужна система правозахисту воїнів у самому секторі оборони – звернення Президента України,2023-09-14,https://www.president.gov.ua/news/potribna-potuzhna-sistema-pravozahistu-voyiniv-u-samomu-sekt-85621,material_security,безпека,безпеки,Є за що окремо відзначити Службу безпеки України – увесь склад Служби й наші Військово - Морські сили .,Ще одне .,Я дякую вам за цей сьогоднішній тріумф – знищено систему ППО окупантів на землі нашого Криму .,yes,no,none,none,none,none,high,
62,01d9188eda16,Потрібна потужна система правозахисту воїнів у самому секторі оборони – звернення Президента України,2023-09-14,https://www.president.gov.ua/news/potribna-potuzhna-sistema-pravozahistu-voyiniv-u-samomu-sekt-85621,decolonisation,окупант,окупантів,Я дякую вам за цей сьогоднішній тріумф – знищено систему ППО окупантів на землі нашого Криму .,Є за що окремо відзначити Службу безпеки України – увесь склад Служби й наші Військово - Морські сили .,"Дуже вагомо , молодці !",yes,no,none,none,none,none,high,
165,035811544b15,Звернення Президента Володимира Зеленського до учасників American Jewish Committee Global Forum,2022-06-13,https://www.president.gov.ua/news/zvernennya-prezidenta-volodimira-zelenskogo-do-uchasnikiv-am-75797,decolonisation,окупант,окупанти,"Російські окупанти вбили частину нашої країни , ми не маємо повної інформації про те , що відбувається в окупованих районах .","І це , мабуть , одна з найстрашніших речей , які відбуваються в час війни .","Ми не знаємо всього про вбивства та інші злочини , які вони скоюють там , на окупованій частині України , що вони зробили з нашими людьми .",yes,no,none,none,none,none,high,
166,035811544b15,Звернення Президента Володимира Зеленського до учасників American Jewish Committee Global Forum,2022-06-13,https://www.president.gov.ua/news/zvernennya-prezidenta-volodimira-zelenskogo-do-uchasnikiv-am-75797,church_actors,церква,церквах,"І при цьому Росія сподівається , що вона не буде реально відповідати за все це зло , за всі ці варварські удари по житлових будинках , по лікарнях , по церквах .","Як могли стати реальністю масові вбивства , катування , спалені міста , фільтраційні табори , які російські військові влаштували на окупованій території і які нагадують концентраційні табори нацистів ?","Росії все ще вистачає могутності , щоб сподіватися продовжувати війну проти України , проти людей , продовжувати ігнорувати реакцію світу .",yes,no,none,none,none,none,high,
167,035811544b15,Звернення Президента Володимира Зеленського до учасників American Jewish Committee Global Forum,2022-06-13,https://www.president.gov.ua/news/zvernennya-prezidenta-volodimira-zelenskogo-do-uchasnikiv-am-75797,church_actors,церква,церкви,Російські снаряди спалюють в Україні навіть російські ж церкви .,Від цього мирного співжиття різних народів ?,"Російська армія знищувала громади , у яких століттями проживала грецька спільнота .",yes,no,none,none,none,none,high,
168,035811544b15,Звернення Президента Володимира Зеленського до учасників American Jewish Committee Global Forum,2022-06-13,https://www.president.gov.ua/news/zvernennya-prezidenta-volodimira-zelenskogo-do-uchasnikiv-am-75797,material_security,санкція,санкцій,Тому захищайте необхідність посилення санкцій проти Росії .,Але зараз справді не 1940-ві .,Це вам до снаги .,yes,no,none,none,none,none,high,
169,035811544b15,Звернення Президента Володимира Зеленського до учасників American Jewish Committee Global Forum,2022-06-13,https://www.president.gov.ua/news/zvernennya-prezidenta-volodimira-zelenskogo-do-uchasnikiv-am-75797,material_security,безпека,безпеку,"Бо ми зараз маємо історичну можливість захистити нашу спільну свободу , нашу спільну безпеку , наше спільне культурне різноманіття від найбільшої хвилі ненависті з усіх , які загрожували світу останніми десятиліттями .",Але ви можете використати ще більше свого впливу .,Тож закінчимо цю війну !,yes,no,none,none,none,none,high,
170,035811544b15,Звернення Президента Володимира Зеленського до учасників American Jewish Committee Global Forum,2022-06-13,https://www.president.gov.ua/news/zvernennya-prezidenta-volodimira-zelenskogo-do-uchasnikiv-am-75797,material_security,безпека,безпеці,"І заради майбутнього мільйонів дітей в Україні та в різних країнах Європи , які заслуговують на те , щоб жити в безпеці , жити в мирі .","В ім’я дітей , які були вбиті ударами російської армії .",Просто жити .,yes,no,none,none,none,none,high,
206,0409a2c6a5fe,"Православний світ побачив, що для Росії Великдень нічого не означає – звернення Президента України",2022-04-25,https://www.president.gov.ua/news/pravoslavnij-svit-pobachiv-sho-dlya-rosiyi-velikden-nichogo-74541,church_actors,православний,православному,"Але чи означали там ці слова те ж саме , що й в усьому православному світі ?",Традиційне привітання « Христос воскрес ! » звучало також і в Росії .,"Росія « привітала » Україну з Великоднем повітряною загрозою майже по всій нашій державі , ракетним ударом по Полтавській області , ракетними ударами по Кременчуку .",yes,no,none,none,none,none,high,
207,0409a2c6a5fe,"Православний світ побачив, що для Росії Великдень нічого не означає – звернення Президента України",2022-04-25,https://www.president.gov.ua/news/pravoslavnij-svit-pobachiv-sho-dlya-rosiyi-velikden-nichogo-74541,material_security,загроза,загрозою,"Росія « привітала » Україну з Великоднем повітряною загрозою майже по всій нашій державі , ракетним ударом по Полтавській області , ракетними ударами по Кременчуку .","Але чи означали там ці слова те ж саме , що й в усьому православному світі ?",Для чого був потрібен цей удар у Великдень ?,yes,no,none,none,none,none,high,
208,0409a2c6a5fe,"Православний світ побачив, що для Росії Великдень нічого не означає – звернення Президента України",2022-04-25,https://www.president.gov.ua/news/pravoslavnij-svit-pobachiv-sho-dlya-rosiyi-velikden-nichogo-74541,material_security,загроза,загрози,"Немає такої військової загрози , від якої це могло б убезпечити Росію .",Для чого був потрібен цей удар у Великдень ?,Це просто свідоме знищення життя в Україні .,yes,no,none,none,none,none,high,
209,0409a2c6a5fe,"Православний світ побачив, що для Росії Великдень нічого не означає – звернення Президента України",2022-04-25,https://www.president.gov.ua/news/pravoslavnij-svit-pobachiv-sho-dlya-rosiyi-velikden-nichogo-74541,church_actors,православний,православне,"Знищення , яке не припинилося навіть у найбільше православне свято .",Це просто свідоме знищення життя в Україні .,"Тож чи християни ці люди , які продовжували і вчора обстрілювати наші міста й громади ?",yes,no,none,none,none,none,high,
210,0409a2c6a5fe,"Православний світ побачив, що для Росії Великдень нічого не означає – звернення Президента України",2022-04-25,https://www.president.gov.ua/news/pravoslavnij-svit-pobachiv-sho-dlya-rosiyi-velikden-nichogo-74541,church_actors,православний,православний,"Але православний світ побачив , що для російських загарбників Великдень нічого не означає .",Росії пропонувалося великоднє припинення вогню .,"Це для них просто червона дата в календарі , для якої потрібні спеціальні слова , спеціальна поведінка , але не те , що називається вірою , і не те , що називається християнським добром .",yes,no,none,none,none,none,high,
211,0409a2c6a5fe,"Православний світ побачив, що для Росії Великдень нічого не означає – звернення Президента України",2022-04-25,https://www.president.gov.ua/news/pravoslavnij-svit-pobachiv-sho-dlya-rosiyi-velikden-nichogo-74541,material_security,безпека,безпеки,"І я вдячний усім нашим поліцейським , усім працівникам Служби безпеки України , усім взагалі , хто відповідав за безпеку на Великдень , за те , що вчора не допустили жодної провокації .","Їсти або навіть святити паски щороку – цього також замало , щоб бути людьми , щоб бути християнами .","Усього того , що російські пропагандисти анонсували напередодні .",yes,no,none,none,none,none,high,
212,0409a2c6a5fe,"Православний світ побачив, що для Росії Великдень нічого не означає – звернення Президента України",2022-04-25,https://www.president.gov.ua/news/pravoslavnij-svit-pobachiv-sho-dlya-rosiyi-velikden-nichogo-74541,material_security,безпека,безпеку,"І я вдячний усім нашим поліцейським , усім працівникам Служби безпеки України , усім взагалі , хто відповідав за безпеку на Великдень , за те , що вчора не допустили жодної провокації .","Їсти або навіть святити паски щороку – цього також замало , щоб бути людьми , щоб бути християнами .","Усього того , що російські пропагандисти анонсували напередодні .",yes,no,none,none,none,none,high,
