"doc_id","passage","is_securitising","securitisation_type","referent_object","threat_actor","extraordinary_measure","confidence","coder_notes","batch_file","doc_date","doc_title","doc_source","doc_content_type","doc_url","juncture","year"
"3a555cc2e76f","Споглядаючи на історію, зауважуємо, що неодноразово відбувались намагання злагодити напруження та вияснити непорозуміння, які виникали між українськими Церквами.",FALSE,"neither","other","none","none",3,"Academic/theological essay on the history and canon law of autocephaly by a theology scholar. Purely historical-canonical argumentation with no framing of UOC-MP as an existential threat and no call for extraordinary measures. No securitising moves identified.","coded_batch_01.json","2006-10-31","Канонічна автокефалія та українська християнська ідентичність","risu.ua","poroshenko_speech","https://risu.ua/kanonichna-avtokefaliya-ta-ukrajinska-hristiyanska-identichnist_n12724","outside_junctures","2006"
"86b16524d79e","Московський патріархат «завжди блокував прагнення українського народу мати свою незалежну від Москви церкву, використовуючи усю силу російської політики, дипломатії і спецслужб».",FALSE,"neither","nation","Russia","none",1,"News/analysis article (no speaker tag; contains reported/quoted speech from Poroshenko and several religious-studies experts, not attributed to Poroshenko per instructions). Religion scholar Viktor Yelensky frames the Moscow Patriarchate as historically obstructing Ukrainian church independence via 'the full force of Russian politics, diplomacy and special services' -- an identification of a threat-like actor, but the passage is descriptive/explanatory commentary within a normal diplomatic process (seeking a Tomos through canonical/political channels), not an explicit call for extraordinary measures against UOC-MP. Coded conservatively as not securitising.","coded_batch_01.json","2008-07-26","«Томос від Вселенського патріарха». Піар чи крок до помісної церкви?","risu.ua","poroshenko_speech","https://risu.ua/tomos-vid-vselenskogo-patriarha-piar-chi-krok-do-pomisnoji-cerkvi_n90419","outside_junctures","2008"
"93c2a28bb813","У Полтаві майже 2,5 тис. осіб взяли участь у відкритті пам'ятника гетьману України Іванові Мазепі.",FALSE,"neither","other","none","none",3,"Human-interest news report about the unveiling of a monument to Hetman Mazepa attended by Poroshenko and Patriarch Filaret (UOC-KP). No mention of UOC-MP or any securitising framing.","coded_batch_01.json","2009-10-14","Порошенко та Патріах Філарет відкрили пам'ятник Мазепі у Полтаві","risu.ua","poroshenko_speech","https://risu.ua/poroshenko-ta-patriah-filaret-vidkrili-pam-yatnik-mazepi-u-poltavi_n79483","outside_junctures","2009"
"69f6f6e4d1ad","Справжній рух за автокефалію православної церкви в Україні як реальну силу розгорнувся після лютневої революції 1917 р.",FALSE,"neither","other","none","none",3,"Long historical-academic account of the Ukrainian autocephalous movement of 1917-1920s (Soviet era). No reference to the contemporary UOC-MP or present-day securitising discourse; purely historical narrative.","coded_batch_01.json","2010-03-19","Автокефалія для Української Церкви: спроба № .....?","risu.ua","poroshenko_speech","https://risu.ua/avtokefaliya-dlya-ukrajinskoji-cerkvi-sproba_n35911","outside_junctures","2010"
"863b83f838a6","5–6 червня 1990 року православний Собор проголосив відродження УАПЦ, відновив церковну структуру у вигляді патріархату і обрав першим українським патріархом митрополита Мстислава Скрипника.",FALSE,"neither","other","none","none",3,"Historical retrospective on the 1990 revival of the UAPC, including a note that Soviet secret police viewed the historical UAPC as 'especially dangerous to the Soviet order' -- this is a historical description of Soviet-era threat framing of the UAPC, not a contemporary securitising move against the UOC-MP.","coded_batch_01.json","2010-06-05","Автокефалія Києва","risu.ua","poroshenko_speech","https://risu.ua/avtokefaliya-kiyeva_n37689","outside_junctures","2010"
"b7f922364188","5-6 червня виповнилось 20 років з часу проведення Собору Української Автокефальної Православної Церкви, на якому формально проголосили відродження української автокефалії та обрали першого Патріарха – Мстислава Скрипника.",FALSE,"neither","other","none","none",3,"Retrospective interview with a religious-studies scholar about the 1990 UAPC council. Purely historical reminiscence; no securitising framing of the UOC-MP.","coded_batch_01.json","2010-06-17","Українська автокефалія. Двадцять років по тому…","risu.ua","poroshenko_speech","https://risu.ua/ukrajinska-avtokefaliya-dvadcyat-rokiv-po-tomu_n37922","outside_junctures","2010"
"4f0b6f4da1fe","Одним із найбільш актуальних розділів богослов'я у сучасному світі є еклезіологія — вчення про Церкву, її сутність та устрій.",FALSE,"neither","other","none","none",3,"Purely theological essay on Orthodox ecclesiology (unity, catholicity, apostolicity) prepared following a UOC/UOC-KP roundtable on overcoming schism. Dialogical, not securitising in tone; no threat framing or call for extraordinary measures.","coded_batch_01.json","2010-07-09","Еклезіологія й автокефалія. Гострі кути","risu.ua","poroshenko_speech","https://risu.ua/ekleziologiya-y-avtokefaliya-gostri-kuti_n38360","outside_junctures","2010"
"825af72667db","Вона зберегла могутній засіб тиску на те, що в Росії називають близьким зарубіжжям, тобто на Україну, Білорусь і деяку частину прибалтійських країн.",FALSE,"neither","other","Russia","none",1,"Academic essay on the canon law and politics of autocephaly, quoting Kremlinologist Alain Besançon's view that the (Moscow-linked) Russian Orthodox Church retains a powerful means of pressure over Ukraine and other post-Soviet states. This is presented as one commentator's analytical claim within a scholarly discussion, not an explicit call by the author for extraordinary measures against UOC-MP; article is about autocephaly generally, references ROC not UOC-MP specifically. Coded conservatively as not securitising.","coded_batch_01.json","2010-08-25","Автокефалія","risu.ua","poroshenko_speech","https://risu.ua/avtokefaliya_n40030","outside_junctures","2010"
"fe5eacfec96e","Визнання автокефалії тієї чи іншої помісної церкви — одна з найскладніших і найбільш болісних проблем сучасного Православ'я взагалі й українського — особливо.",FALSE,"neither","other","none","none",3,"Historical account of the Orthodox Church in Poland's path to autocephaly in the 1920s-40s. No reference to contemporary UOC-MP; purely historical.","coded_batch_01.json","2010-08-25","Польська автокефалія: погляд крізь десятиліття","risu.ua","poroshenko_speech","https://risu.ua/polska-avtokefaliya-poglyad-kriz-desyatilittya_n39992","outside_junctures","2010"
"016f01e23ad6","Тотальне нав'язування нехристиянських політичних поглядів, які до того ж цілком чужі більшості українців, поступово переростає у переслідування всіх інакомислячих — у даному випадку передовсім захисників чистоти православної віри... З вуст політично заангажованих проросійських архієреїв лунають ярлики і погрози, які безпосередньо застосовуються там, де вони мають владу — стосовно кліриків та мирян на церковних посадах.",TRUE,"ontological","faith","internal","other",2,"Written from within/sympathetic to the UOC (then MP-affiliated), this op-ed frames the 'russkiy mir' ideology, propagated by pro-Russian bishops inside the UOC hierarchy, as an aggressive, non-Christian force causing unprecedented internal conflict and persecuting clergy/laity who defend the 'purity of Orthodox faith'. Threat actor coded as 'internal' (pro-Russian bishops within the Ukrainian church) though the ideology is sourced from Moscow. Extraordinary measure is implicit (see next entry) rather than stated in this exact passage.","coded_batch_01.json","2010-12-24","Автокефалія УПЦ: переосмислення","risu.ua","poroshenko_speech","https://risu.ua/avtokefaliya-upc-pereosmislennya_n43597","outside_junctures","2010"
