"doc_id","passage","is_securitising","securitisation_type","referent_object","threat_actor","extraordinary_measure","confidence","coder_notes","batch_file","doc_date","doc_title","doc_source","doc_content_type","doc_url","juncture","year"
"016f01e23ad6","Тотальне нав'язування нехристиянських політичних поглядів, які до того ж цілком чужі більшості українців, поступово переростає у переслідування всіх інакомислячих — у даному випадку передовсім захисників чистоти православної віри... З вуст політично заангажованих проросійських архієреїв лунають ярлики і погрози, які безпосередньо застосовуються там, де вони мають владу — стосовно кліриків та мирян на церковних посадах.",TRUE,"ontological","faith","internal","other",2,"Written from within/sympathetic to the UOC (then MP-affiliated), this op-ed frames the 'russkiy mir' ideology, propagated by pro-Russian bishops inside the UOC hierarchy, as an aggressive, non-Christian force causing unprecedented internal conflict and persecuting clergy/laity who defend the 'purity of Orthodox faith'. Threat actor coded as 'internal' (pro-Russian bishops within the Ukrainian church) though the ideology is sourced from Moscow. Extraordinary measure is implicit (see next entry) rather than stated in this exact passage.","coded_batch_01.json","2010-12-24","Автокефалія УПЦ: переосмислення","risu.ua","poroshenko_speech","https://risu.ua/avtokefaliya-upc-pereosmislennya_n43597","outside_junctures","2010"
"016f01e23ad6","В обставинах такого шаленого тиску автокефалія може стати єдиним чинником цілісності Церкви, запорукою збереження невикривленого етнофілетизмом православного віровчення, навіть якщо не вести мову про об'єднання з УАПЦ і УПЦ КП.",TRUE,"both","faith","Russia","other",2,"Clear securitising move: identifies 'russkiy mir' ideology and pressure from Moscow as an existential threat to the Church's integrity and doctrinal purity, and frames autocephaly (administrative separation from the Moscow Patriarchate) as the 'only' safeguard -- i.e. an extraordinary ecclesiastical measure beyond continuing dialogue/normal church politics. Coded extraordinary_measure as 'other' since it is administrative separation/schism rather than ban/sanction/dissolution/seizure of a target church; referent object is the true/undistorted Orthodox faith of the UOC.","coded_batch_01.json","2010-12-24","Автокефалія УПЦ: переосмислення","risu.ua","poroshenko_speech","https://risu.ua/avtokefaliya-upc-pereosmislennya_n43597","outside_junctures","2010"
"016f01e23ad6","РПЦ є надзвичайно заполітизованою церквою, що завжди сповідувала ідеї цезаропапізму та етатизму, а за патріарха Кирила ще й відверту єресь етнофілетизму («русскій мір»). Адміністративний вихід з-під її юрисдикції дасть шанс звільнитися від цих хворобливих ідей різних кольорів і спрямувань.",TRUE,"ontological","faith","Russia","other",2,"Author explicitly labels the Moscow Patriarchate's 'russkiy mir' doctrine as heresy ('єресь етнофілетизму') threatening the Church's spiritual health, and calls for 'administrative exit' from ROC jurisdiction (i.e. autocephaly) as the remedy -- threat + existential framing + call for an extraordinary ecclesiastical/administrative break.","coded_batch_01.json","2010-12-24","Автокефалія УПЦ: переосмислення","risu.ua","poroshenko_speech","https://risu.ua/avtokefaliya-upc-pereosmislennya_n43597","outside_junctures","2010"
"b7779885292a","Наталья Витренко объявила с трибуны, что Собор православных женщин Украины не будет мириться с таким порядком вещей и уже присоединился к «народному сопротивлению евроколонизации».",TRUE,"ontological","other","UOC-MP","other",2,"Reverse-direction securitising move: pro-Russian activist Natalia Vytrenko, speaking at a Moscow Patriarchate forum in Moscow, frames the UOC-MP leadership (Metropolitan Onufriy) as having 'betrayed' Russian Orthodoxy/the 'Russian World' by pursuing an independent policy, recognising the Ukrainian government, and condemning separatism, and declares that her organisation has joined 'popular resistance to Euro-colonisation'. This inverts the codebook's usual Ukrainian-nationalist framing: here the referent object under threat is Russian Orthodox unity/'Russian World' (coded 'other') and the threat actor is the UOC-MP leadership itself for insufficient loyalty to Moscow. Not Poroshenko's own words despite the speaker tag -- Poroshenko is only referenced as a topic ('so-called president'), not a speaker. Included because it directly involves and targets UOC-MP leadership with existential betrayal-framing and a call to join organised 'resistance'.","coded_batch_01.json","2014-06-06","Зал церковных Соборов РПЦ аплодировал Наталье Витренко за осуждение руководства УПЦ и «так называемого президента Порошенко»","risu.ua","poroshenko_speech","https://risu.ua/zal-cerkovnyh-soborov-rpc-aplodiroval-natale-vitrenko-za-osuzhdenie-rukovodstva-upc-i-tak-nazyvaemogo-prezidenta-poroshenko_n69187","outside_junctures","2014"
"b7779885292a","Тот враг православия, тот враг нашего народа -- я это утверждаю с этой высокой трибуны, и пусть мне попробует кто-то сказать, что Порошенко православный человек!",TRUE,"ontological","other","UOC-MP","other",1,"Vytrenko frames recognition of Poroshenko's presidency (which UOC-MP leadership publicly supported) as making one 'an enemy of Orthodoxy, an enemy of our people' -- existential enemy-framing tied directly to criticism of UOC-MP's stance. Lower confidence as the explicit target here is Poroshenko rather than UOC-MP directly, though UOC-MP's supportive stance toward him is the proximate grievance discussed in surrounding text.","coded_batch_01.json","2014-06-06","Зал церковных Соборов РПЦ аплодировал Наталье Витренко за осуждение руководства УПЦ и «так называемого президента Порошенко»","risu.ua","poroshenko_speech","https://risu.ua/zal-cerkovnyh-soborov-rpc-aplodiroval-natale-vitrenko-za-osuzhdenie-rukovodstva-upc-i-tak-nazyvaemogo-prezidenta-poroshenko_n69187","outside_junctures","2014"
"4f71c420c380","Жодного сумніву, що нам вдасться відбити цю інформаційну агресію. Церковну карту ми розіграти не дамо.",TRUE,"both","nation","Russia","other",2,"Direct Poroshenko quote at a meeting with the All-Ukrainian Council of Churches. He states that Russia's information war 'touches on church matters' and is attempting 'to split Ukrainian society' (~20% of Russian propaganda concerns religious material), labels this 'informational aggression', and vows resistance ('we will not allow the church card to be played'). Threat actor is Russia using religious institutions (implicitly including UOC-MP) as a vector; referent object is national unity. Extraordinary measure is coded 'other' as a vague vow of active resistance/defence rather than a specific named measure.","coded_batch_02.json","2015-02-18","Ми не дамо Росії розіграти церковну карту — Порошенко","risu.ua","poroshenko_speech","https://risu.ua/mi-ne-damo-rosiji-rozigrati-cerkovnu-kartu-poroshenko_n73059","outside_junctures","2015"
"6d2b9ef409d9","Украина — никакая не братская, я вам об этом прямо и честно говорю... сама Украина со всей своей свинской идеологией, со своим бесовским менталитетом, бытовым сатанизмом никакая не братская.",TRUE,"both","nation","Russia","other",2,"Reported statements by Andrei Tkachev, former head of the Kyiv eparchy missionary department of UOC (MP) who relocated to Moscow/ROC in 2014. He frames Ukraine itself as an existential 'enemy'/'hostile' entity ('demonic mentality') opposed to sacred Russian civilisational values, expresses hope for Poroshenko's imminent death, and calls for the Russian military to strike targets with precision -- an explicit call for extraordinary violent action. Coded as involving UOC-MP because the article specifically identifies him as a former leading UOC(MP)/ROC missionary, illustrating a securitising narrative associated with Moscow-aligned clergy formerly embedded in UOC-MP structures; the threat here runs from this figure toward Ukraine/Poroshenko rather than being a Ukrainian securitisation of UOC-MP. The article itself is reporting his statements rather than making its own securitising claim.","coded_batch_02.json","2015-11-18","Ведущий миссионер УПЦ/РПЦ ждет скорой смерти Порошенко и желает новых побед Путину","risu.ua","poroshenko_speech","https://risu.ua/vedushchiy-missioner-upc-rpc-zhdet-skoroy-smerti-poroshenko-i-zhelaet-novyh-pobed-putinu_n77040","outside_junctures","2015"
"1dd3bdc331ba","Ми не будемо байдуже споглядати за втручанням іншої держави в наші церковні справи, за її спробами використати у своїх інтересах почуття частини українських православних.",TRUE,"both","state","Russia","other",3,"Direct Poroshenko quote in his annual address to parliament. Identifies a foreign state (unnamed but clearly Russia in context) interfering in Ukraine's church affairs and exploiting the religious feelings of part of the Ukrainian Orthodox community (i.e. UOC-MP's flock) for its own interests -- a threat to state sovereignty (material) combined with exploitation of religious identity (ontological). The extraordinary measure is the parliamentary appeal to Patriarch Bartholomew to annul the 1686 transfer of the Kyiv Metropolis to Moscow, seeking full ecclesiastical independence -- an action outside normal state-church separation practice, justified by this threat framing.","coded_batch_02.json","2016-06-16","Президент подякував ВР за звернення до Варфоломія I щодо автокефалії Православної Церкви в Україні","risu.ua","poroshenko_speech","https://risu.ua/prezident-podyakuvav-vr-za-zvernennya-do-varfolomiya-i-shchodo-avtokefaliji-pravoslavnoji-cerkvi-v-ukrajini_n81084","outside_junctures","2016"
"51ac5163e69a","Нині іде наступ однієї православної церкви на УПЦ МП. Ми вважаємо таке протистояння за посередництва державних органів неприпустимим, що може призвести до міжконфесійної ворожнечі. У нас і так непроста ситуація в країні, ідуть утиски за національною ознакою, мовною, нині ми додаємо ще і релігійну ознаку.",TRUE,"material","other","other","none",2,"Reverse-direction securitising move: Opposition Bloc MP Oleksandr Dolzhenkov, defending UOC-MP, frames the Verkhovna Rada's appeal to Patriarch Bartholomew as a state-backed 'offensive' ('наступ') against UOC-MP, calls it 'unacceptable', and warns it risks provoking 'inter-confessional strife' on top of alleged existing ethnic/linguistic persecution. This inverts the codebook's default direction: here the referent object under threat is UOC-MP itself (coded 'other') and the threat actor is the Ukrainian state/political establishment pushing autocephaly (coded 'other'). No specific extraordinary measure is proposed in this passage beyond political objection/procedural obstruction (Opposition Bloc MPs are reported elsewhere in the article to have blocked the podium during the Rada vote). Included per task scope as directly involving/defending UOC-MP. Article also reports Kremlin spokesperson Dmitry Peskov warning that Ukrainian autocephaly 'will cause a church schism' that ROC 'cannot support' -- a milder, more diplomatic objection not rising to the same level of securitising language.","coded_batch_02.json","2016-06-16","Православна революція. Чи встигне патріарх Варфоломій змінити історію?","risu.ua","poroshenko_speech","https://risu.ua/pravoslavna-revolyuciya-chi-vstigne-patriarh-varfolomiy-zminiti-istoriyu_n90494","outside_junctures","2016"
"dba09ff7182e","Почався процес прозріння деяких вірян УПЦ МП, які переконалися в тому, що ця структура у складі РПЦ займає антиукраїнські позиції, освячує зброю терористів та просуває «русский мир» в Україні.",TRUE,"both","nation","UOC-MP","other",2,"This 2022 retrospective article (on the third anniversary of the Tomos) makes its own editorial securitising claim: that the UOC-MP 'as part of the ROC occupies anti-Ukrainian positions, blesses terrorists' weapons, and promotes the russkiy mir [ideology] in Ukraine' -- explicitly framing UOC-MP as an active threat to the nation (material: blessing terrorist weapons; ontological: promoting russkiy mir). The extraordinary measure is the broader narrative arc of the article itself: believers 'awakening' and leaving UOC-MP for the newly formed PCU (autocephalous church) as the appropriate extraordinary response.","coded_batch_02.json","2016-06-16","ПЦУ відзначає третю річницю отримання Томосу","risu.ua","poroshenko_speech","https://risu.ua/pcu-vidznachaye-tretyu-richnicyu-otrimannya-tomosu_n124857","outside_junctures","2016"
