claim_id,doc_id,doc_title,doc_date,doc_url,category,matched_term,surface_form,sentence,context_before,context_after,category_correct,is_securitising,securitisation_type,referent_object,threat_actor,extraordinary_measure,confidence,coder_notes
1091,1cab7f32ecd4,"Ми маємо не допустити, щоб хтось у світі засумнівався у стійкості всієї України – Щорічне Послання Президента до Верховної Ради",2024-11-19,https://www.president.gov.ua/news/mi-mayemo-ne-dopustiti-shob-htos-u-sviti-zasumnivavsya-u-sti-94497,material_security,санкція,санкції,"Трибунал проти Російської Федерації , конфіскація російських активів , дієві санкції проти Росії , стовідсоткове гарантування духовної незалежності України , українська культурна дипломатія , протидія дезінформації та розбудова нормальних державних комунікацій нашої держави , а також необхідна трансформація наших державних інституцій – абсолютно все це неможливо без дієвої співпраці з громадянським суспільством .","Нам потрібна спільна юридична , комунікаційна та адвокаційна робота держави та українських громадських сил .","Державні рішення , всі наші рішення мають бути підготовлені на основі найкращої експертизи , і ми вже напрацювали відповідні формати спільної роботи державних структур і суспільства .",yes,yes,ontological,nation,Moscow_Patriarchate,none,high,"'100% guaranteeing spiritual independence of Ukraine' listed alongside tribunals, asset confiscation, sanctions in national resilience plan."
1092,1cab7f32ecd4,"Ми маємо не допустити, щоб хтось у світі засумнівався у стійкості всієї України – Щорічне Послання Президента до Верховної Ради",2024-11-19,https://www.president.gov.ua/news/mi-mayemo-ne-dopustiti-shob-htos-u-sviti-zasumnivavsya-u-sti-94497,ontological_security,духовний,духовної,"Трибунал проти Російської Федерації , конфіскація російських активів , дієві санкції проти Росії , стовідсоткове гарантування духовної незалежності України , українська культурна дипломатія , протидія дезінформації та розбудова нормальних державних комунікацій нашої держави , а також необхідна трансформація наших державних інституцій – абсолютно все це неможливо без дієвої співпраці з громадянським суспільством .","Нам потрібна спільна юридична , комунікаційна та адвокаційна робота держави та українських громадських сил .","Державні рішення , всі наші рішення мають бути підготовлені на основі найкращої експертизи , і ми вже напрацювали відповідні формати спільної роботи державних структур і суспільства .",yes,yes,ontological,nation,Moscow_Patriarchate,none,high,"'100% guaranteeing spiritual independence of Ukraine' listed alongside tribunals, asset confiscation, sanctions in national resilience plan."
1093,1cab7f32ecd4,"Ми маємо не допустити, щоб хтось у світі засумнівався у стійкості всієї України – Щорічне Послання Президента до Верховної Ради",2024-11-19,https://www.president.gov.ua/news/mi-mayemo-ne-dopustiti-shob-htos-u-sviti-zasumnivavsya-u-sti-94497,decolonisation,незалежність,незалежності,"Трибунал проти Російської Федерації , конфіскація російських активів , дієві санкції проти Росії , стовідсоткове гарантування духовної незалежності України , українська культурна дипломатія , протидія дезінформації та розбудова нормальних державних комунікацій нашої держави , а також необхідна трансформація наших державних інституцій – абсолютно все це неможливо без дієвої співпраці з громадянським суспільством .","Нам потрібна спільна юридична , комунікаційна та адвокаційна робота держави та українських громадських сил .","Державні рішення , всі наші рішення мають бути підготовлені на основі найкращої експертизи , і ми вже напрацювали відповідні формати спільної роботи державних структур і суспільства .",yes,yes,ontological,nation,Moscow_Patriarchate,none,high,"'100% guaranteeing spiritual independence of Ukraine' listed alongside tribunals, asset confiscation, sanctions in national resilience plan."
1131,1cab7f32ecd4,"Ми маємо не допустити, щоб хтось у світі засумнівався у стійкості всієї України – Щорічне Послання Президента до Верховної Ради",2024-11-19,https://www.president.gov.ua/news/mi-mayemo-ne-dopustiti-shob-htos-u-sviti-zasumnivavsya-u-sti-94497,church_actors,церква,церкви,Наша політика щодо церкви та релігійних організацій .,"Україні потрібна спеціальна політика дитинства – конкретні заходи , які допомагають батьківству в Україні , підтримують сім’ї та сімейне виховання , дають дитині змогу рости в безпечному та сучасному соціальному середовищі .","За умови збереження світського характеру державних інституцій ми маємо й можемо розвивати партнерство між державою та церквою , між державою та релігійними спільнотами .",yes,yes,ontological,nation,Moscow_Patriarchate,none,medium,Announces church policy section of Annual Address. Opening frame for the church-state securitisation narrative.
1132,1cab7f32ecd4,"Ми маємо не допустити, щоб хтось у світі засумнівався у стійкості всієї України – Щорічне Послання Президента до Верховної Ради",2024-11-19,https://www.president.gov.ua/news/mi-mayemo-ne-dopustiti-shob-htos-u-sviti-zasumnivavsya-u-sti-94497,church_actors,релігійний,релігійних,Наша політика щодо церкви та релігійних організацій .,"Україні потрібна спеціальна політика дитинства – конкретні заходи , які допомагають батьківству в Україні , підтримують сім’ї та сімейне виховання , дають дитині змогу рости в безпечному та сучасному соціальному середовищі .","За умови збереження світського характеру державних інституцій ми маємо й можемо розвивати партнерство між державою та церквою , між державою та релігійними спільнотами .",yes,yes,ontological,nation,Moscow_Patriarchate,none,medium,Announces church policy section of Annual Address. Opening frame for the church-state securitisation narrative.
1138,1cab7f32ecd4,"Ми маємо не допустити, щоб хтось у світі засумнівався у стійкості всієї України – Щорічне Послання Президента до Верховної Ради",2024-11-19,https://www.president.gov.ua/news/mi-mayemo-ne-dopustiti-shob-htos-u-sviti-zasumnivavsya-u-sti-94497,ontological_security,духовний,духовну,"В межах саме цього діалогу можемо визначати , які моделі більшої співпраці здатні зміцнити нашу державу та всіх наших людей , нашу духовну незалежність , нашу соціальну роботу в Українській державі .","В Україні є глобально важливий інституційний приклад такої співпраці – Рада церков і релігійних організацій , і на базі цієї інституції сформовано вже діалог між державою та всіма релігійними спільнотами України .","Звичайно , не йдеться про московську церкву .",yes,yes,ontological,nation,Moscow_Patriarchate,none,high,"Through dialogue with Council of Churches, determining models to strengthen spiritual independence."
1139,1cab7f32ecd4,"Ми маємо не допустити, щоб хтось у світі засумнівався у стійкості всієї України – Щорічне Послання Президента до Верховної Ради",2024-11-19,https://www.president.gov.ua/news/mi-mayemo-ne-dopustiti-shob-htos-u-sviti-zasumnivavsya-u-sti-94497,decolonisation,незалежність,незалежність,"В межах саме цього діалогу можемо визначати , які моделі більшої співпраці здатні зміцнити нашу державу та всіх наших людей , нашу духовну незалежність , нашу соціальну роботу в Українській державі .","В Україні є глобально важливий інституційний приклад такої співпраці – Рада церков і релігійних організацій , і на базі цієї інституції сформовано вже діалог між державою та всіма релігійними спільнотами України .","Звичайно , не йдеться про московську церкву .",yes,yes,ontological,nation,Moscow_Patriarchate,none,high,"Through dialogue with Council of Churches, determining models to strengthen spiritual independence."
1140,1cab7f32ecd4,"Ми маємо не допустити, щоб хтось у світі засумнівався у стійкості всієї України – Щорічне Послання Президента до Верховної Ради",2024-11-19,https://www.president.gov.ua/news/mi-mayemo-ne-dopustiti-shob-htos-u-sviti-zasumnivavsya-u-sti-94497,church_actors,церква,церкву,"Звичайно , не йдеться про московську церкву .","В межах саме цього діалогу можемо визначати , які моделі більшої співпраці здатні зміцнити нашу державу та всіх наших людей , нашу духовну незалежність , нашу соціальну роботу в Українській державі .","Час тих , хто освячує терор , закінчився .",yes,yes,both,state,UOC-MP,ban,high,"'Of course, this does not concern the Moscow church.' Explicit exclusion of Moscow-affiliated church from state-church partnership. Key securitising statement."
1143,1cab7f32ecd4,"Ми маємо не допустити, щоб хтось у світі засумнівався у стійкості всієї України – Щорічне Послання Президента до Верховної Ради",2024-11-19,https://www.president.gov.ua/news/mi-mayemo-ne-dopustiti-shob-htos-u-sviti-zasumnivavsya-u-sti-94497,ontological_security,духовний незалежність,духовної незалежності,"Трибунал проти Російської Федерації , конфіскація російських активів , дієві санкції проти Росії , стовідсоткове гарантування духовної незалежності України , українська культурна дипломатія , протидія дезінформації та розбудова нормальних державних комунікацій нашої держави , а також необхідна трансформація наших державних інституцій – абсолютно все це неможливо без дієвої співпраці з громадянським суспільством .","Нам потрібна спільна юридична , комунікаційна та адвокаційна робота держави та українських громадських сил .","Державні рішення , всі наші рішення мають бути підготовлені на основі найкращої експертизи , і ми вже напрацювали відповідні формати спільної роботи державних структур і суспільства .",yes,yes,ontological,nation,Moscow_Patriarchate,none,high,"'100% guaranteeing spiritual independence of Ukraine' listed alongside tribunals, asset confiscation, sanctions in national resilience plan."
1144,1cab7f32ecd4,"Ми маємо не допустити, щоб хтось у світі засумнівався у стійкості всієї України – Щорічне Послання Президента до Верховної Ради",2024-11-19,https://www.president.gov.ua/news/mi-mayemo-ne-dopustiti-shob-htos-u-sviti-zasumnivavsya-u-sti-94497,ontological_security,духовний незалежність,духовну незалежність,"В межах саме цього діалогу можемо визначати , які моделі більшої співпраці здатні зміцнити нашу державу та всіх наших людей , нашу духовну незалежність , нашу соціальну роботу в Українській державі .","В Україні є глобально важливий інституційний приклад такої співпраці – Рада церков і релігійних організацій , і на базі цієї інституції сформовано вже діалог між державою та всіма релігійними спільнотами України .","Звичайно , не йдеться про московську церкву .",yes,yes,ontological,nation,Moscow_Patriarchate,none,high,"Through dialogue with Council of Churches, determining models to strengthen spiritual independence."
